
# name, imm,        direct,         indexed,      extended,     inherent,   relative



abx,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x3A,2,    0,0
sbcb,    0xC2,1,      0xD2,1,        0xE2,1,          0xF2,2,       0x0,0,    0x00,0

com,    0x00,0,       0x03,1,        0x63,1,         0x73,2,      0x00,0,    0x00,0
coma,    0x00,0,      0x00,0,        0x0,0,          0x0,0,       0x43,1,    0x00,0
comb,    0x00,0,      0x00,0,        0x0,0,          0x0,0,       0x53,1,    0x00,0
cwai,    0x3c,1,      0x00,0,        0x0,0,          0x0,0,       0x0,0,    0x00,0
daa,    0x0,0,      0x00,0,        0x0,0,          0x0,0,       0x19,1,    0x00,0
inca,    0x00,0,       0x00,0,        0x00,0,         0x00,0,      0x4c,1,    0x00,0
inca,    0x00,0,       0x00,0,        0x00,0,         0x00,0,      0x5c,1,    0x00,0
inc,    0x00,0,       0x0c,1,        0x6c,1,         0x7c,2,      0x00,0,    0x00,0
cmpa,   0x81,1,       0x91,1,        0xa1,1,         0xb1,2,      0x00,0,    0x00,0
cmpb,   0xc1,1,       0xd1,1,        0xe1,1,         0xf1,2,      0x00,0,    0x00,0
cmpd,   0x1083,2,       0x1093,1,        0x10a3,1,         0x10b3,2,      0x00,0,    0x00,0
cmpx,   0x8c,2,       0x9c,1,        0xac,1,         0xbc,2,      0x00,0,    0x00,0
cmpy,   0x108c,2,       0x109c,1,        0x10ac,1,         0x10bc,2,      0x00,0,    0x00,0
cmps,   0x118cc,2,       0x119c,1,        0x11ac,1,         0x11bc,2,      0x00,0,    0x00,0
cmpu,   0x1183,2,       0x1193,1,        0x11A3,1,         0x11B3,2,      0x00,0,    0x00,0

jmp,    0x00,0,       0x0e,1,        0x6e,1,         0x7e,2,      0x00,0,    0x00,0


adda,    0x8b,1,       0x9b,1,        0xab,1,         0xbb,2,      0x00,0,    0x00,0
adca,    0x89,1,       0x99,1,        0xa9,1,         0xb9,2,      0x00,0,    0x00,0
addb,    0xcb,1,       0xdb,1,        0xeb,1,         0xfb,2,      0x00,0,    0x00,0
addd,    0xc3,2,       0xd3,1,        0xe3,1,         0xf3,2,      0x00,0,    0x00,0
adcb,    0xc9,1,       0xd9,1,        0xe9,1,         0xf9,2,      0x00,0,    0x00,0
subd,    0x83,2,       0x93,1,        0xa3,1,         0xb3,2,      0x00,0,    0x00,0
suba,    0x80,1,       0x90,1,        0xa0,1,         0xb0,2,      0x00,0,    0x00,0
subb,    0xc0,1,       0xd0,1,        0xe0,1,         0xf0,2,      0x00,0,    0x00,0

mul,    0x00,0,       0x00,0,        0x00,0,         0x00,0,      0x3d,0,    0x00,0

swi,    0x00,0,       0x00,0,        0x00,0,         0x00,0,      0x3f,0,    0x00,0
swi2,    0x00,0,       0x00,0,        0x00,0,         0x00,0,      0x103f,1,    0x00,0
swi3,    0x00,0,       0x00,0,        0x00,0,         0x00,0,      0x113f,1,    0x00,0

sync,    0x00,0,       0x00,0,        0x00,0,         0x00,0,      0x13,0,    0x00,0

